Protein	Gene
Q8TBF5	PIGX
Q5MIZ7	PPP4R3B
Q9NVL8	CCDC198
Q8IZF5	ADGRF3
P30613	PKLR
P23409	MYF6
Q9NQ76	MEPE
Q9NVL1	FAM86C1
O14770	MEIS2
P20930	FLG
Q9NQ79	CRTAC1
P20936	RASA1
Q8NFX7	STXBP6
P30939	HTR1F
P40617	ARL4A
Q8TBF2	FAM213B
Q15573	TAF1A
Q15572	TAF1C
Q8NEQ6	SRARP
P51788	CLCN2
P23919	DTYMK
Q5H9L4	TAF7L
Q8NHX9	TPCN2
Q6UX39	AMTN
Q9NXR8	ING3
Q9C0H2	TTYH3
P40616	ARL1
Q68DE3	USF3
Q00535	CDK5
Q00534	CDK6
Q00537	CDK17
Q07960	ARHGAP1
Q9NXR5	ANKRD10
Q9NXR7	BABAM2
O00244	ATOX1
Q86U70	LDB1
O00241	SIRPB1
O00716	E2F3
Q5H9L2	TCEAL5
Q9UBM7	DHCR7
Q9UBM4	OPTC
Q92911	SLC5A5
Q13835	PKP1
A0AVF1	TTC26
P40424	PBX1
P40425	PBX2
P40426	PBX3
P40429	RPL13A
Q7Z3T8	ZFYVE16
Q13838	DDX39B
P18074	ERCC2
P08842	STS
P03891	MT-ND2
P48960	CD97
P45844	ABCG1
P02768	ALB
P05386	RPLP1
P05387	RPLP2
P02760	AMBP
P05388	RPLP0
P02765	AHSG
P02766	TTR
Q7L266	ASRGL1
Q9UQ07	MOK
Q9UJ70	NAGK
Q9UQ03	CORO2B
Q9UJ72	ANXA10
Q8IWB9	TEX2
Q15165	PON2
Q9UJ78	ZMYM5
O15254	ACOX3
O15255	RTL8C
Q86WA8	LONP2
Q6ZTI6	RFLNA
O15258	RER1
O15259	NPHP1
Q86XA0	METTL23
P29401	TKT
P29400	COL4A5
Q5VWT5	FYB2
Q9H0S4	DDX47
P39023	RPL3
P29122	PCSK6
O00330	PDHX
Q8WX94	NLRP7
P21731	TBXA2R
Q96CS2	HAUS1
Q96CS3	FAF2
Q9P219	CCDC88C
Q9P218	COL20A1
Q5W111	SPRYD7
Q96CS7	PLEKHB2
Q9P215	POGK
P62807	HIST1H2BC
P62807	HIST1H2BE
P62807	HIST1H2BF
P62807	HIST1H2BG
P62807	HIST1H2BI
Q9UK11	ZNF223
Q01113	IL9R
Q9UK17	KCND3
Q9BVC3	DSCC1
Q9P212	PLCE1
Q92833	JARID2
Q92832	NELL1
Q92831	KAT2B
Q92830	KAT2A
Q92837	FRAT1
Q9H3M9	ATXN3L
Q92835	INPP5D
P00540	MOS
Q969K7	TMEM54
Q969K4	ABTB1
Q92838	EDA
Q9H3M0	KCNF1
P51878	CASP5
Q9H845	ACAD9
Q9Y6E2	BZW2
Q8TAL5	C9orf43
Q9Y6E0	STK24
O43933	PEX1
Q9HC73	CRLF2
Q9BZG8	DPH1
Q9Y597	KCTD3
Q5TZA2	CROCC
Q9Y592	CEP83
P01236	PRL
Q9NWM8	FKBP14
Q09161	NCBP1
Q05952	TNP2
Q6NX49	ZNF544
P09001	MRPL3
P53708	ITGA8
P04035	HMGCR
P60520	GABARAPL2
Q9UKZ1	CNOT11
Q6NX45	ZNF774
Q9UKZ4	TENM1
Q9H963	ZNF702P
Q9H967	WDR76
Q14563	SEMA3A
Q14562	DHX8
Q8WYB5	KAT6B
Q86TG1	TMEM150A
Q14566	MCM6
Q8NFQ8	TOR1AIP2
Q9NY46	SCN3A
Q8NI32	LYPD6B
Q6P1A2	LPCAT3
Q9NRH1	YAE1
Q9NRH2	SNRK
Q9NRH3	TUBG2
Q9UHF1	EGFL7
Q9UHF0	TAC3
Q96PG8	BBC3
Q9UHF5	IL17B
P41219	PRPH
Q9UHF7	TRPS1
P41214	EIF2D
Q9H112	CST11
P41217	CD200
Q9UHC6	CNTNAP2
Q8N1K5	THEMIS
Q96T91	GPHA2
Q92527	ANKRD7
Q92526	CCT6B
Q92520	FAM3C
Q92523	CPT1B
Q92522	H1FX
Q9Y3E0	GOLT1B
Q7Z5L2	R3HCC1L
Q92529	SHC3
P35452	HOXD12
Q9H4P4	RNF41
P23352	ANOS1
Q2Q1W2	TRIM71
Q9NUQ9	FAM49B
P30559	OXTR
Q53HV7	SMUG1
Q5T9C9	PIP5KL1
Q02878	RPL6
Q9HAP6	LIN7B
P27449	ATP6V0C
P27448	MARK3
Q9HAP2	MLXIP
Q96HA7	TONSL
Q96HA1	POM121
Q96PM5	RCHY1
Q96HA9	PEX11G
Q96HA8	WDYHV1
Q9H069	DRC3
P31995	FCGR2C
O75164	KDM4A
O75165	DNAJC13
Q9Y5X4	NR2E3
Q9H211	CDT1
O75161	NPHP4
Q9H213	MAGEH1
Q96G23	CERS2
Q5VZL5	ZMYM4
Q96G21	IMP4
P06865	HEXA
Q96G27	WBP1
Q96G25	MED8
Q9BY79	MFRP
Q9BWU0	SLC4A1AP
Q9BWU1	CDK19
Q9NSA2	KCND1
Q8TEH3	DENND1A
Q13232	NME3
Q13233	MAP3K1
Q9HCE5	METTL14
Q5TBA9	FRY
O60383	GDF9
O60381	HBP1
Q8HWS3	RFX6
Q9C0H9	SRCIN1
Q9Y3X0	CCDC9
P30872	SSTR1
Q9NXR1	NDE1
Q96AH0	NABP1
Q15762	CD226
P10914	IRF1
P10916	MYL2
P10911	MCF2
Q6UW02	CYP20A1
Q6UW01	CBLN3
P10912	GHR
Q9HCE6	ARHGEF10L
Q15768	EFNB3
P23743	DGKA
P59910	DNAJB13
Q96MU8	KREMEN1
Q6KB66	KRT80
Q8WUF5	PPP1R13L
Q96BT3	CENPT
Q96BT7	ALKBH8
Q02297	NRG1
O00712	NFIB
P48147	PREP
P48146	NPBWR2
P48145	NPBWR1
Q99519	NEU1
O15417	TNRC18
Q9BQG0	MYBBP1A
Q4G1C9	GLIPR1L2
Q96RU7	TRIB3
Q6PL24	TMED8
Q96RU3	FNBP1
Q96RU2	USP28
Q4VC39	HIGD2B
Q6VMQ6	ATF7IP
Q9UKV0	HDAC9
Q9NYU1	UGGT2
Q9NYU2	UGGT1
Q96RU8	TRIB1
Q96DR5	BPIFA2
A4D1P6	WDR91
Q8N729	NPW
Q96L58	B3GALT6
P55145	MANF
P50395	GDI2
Q96A84	EMID1
Q96A83	COL26A1
P43366	MAGEB1
P50391	NPY4R
Q9Y5A7	NUB1
Q9Y5A6	ZSCAN21
Q8NDW4	ZNF248
Q13643	FHL3
Q13642	FHL1
Q13641	TPBG
Q9Y5A9	YTHDF2
P40306	PSMB10
Q9NS40	KCNH7
Q9UBM1	PEMT
Q6XQN6	NAPRT
Q02127	DHODH
Q15582	TGFBI
Q5H9S7	DCAF17
P21217	FUT3
A8MTA8	FAM166B
Q5SQS8	C10orf120
A6NE52	WDR97
P62380	TBPL1
Q9BQ15	NABP2
Q8TCC7	SLC22A8
O60806	TBX19
Q96CN9	GCC1
Q9UKS7	IKZF2
Q6ZRV2	FAM83H
P61160	ACTR2
Q7L985	LINGO2
Q96CN7	ISOC1
Q96N77	ZNF641
Q96CN4	EVI5L
Q03188	CENPC
O15069	NACAD
O15068	MCF2L
Q5RKV6	EXOSC6
Q9BXJ5	C1QTNF2
Q03181	PPARD
P10644	PRKAR1A
O15061	SYNM
Q9H6R7	WDCP
O15067	PFAS
O15066	KIF3B
P48552	NRIP1
Q9H6R3	ACSS3
Q9H9P5	UNKL
Q9H0W5	CCDC8
P07093	SERPINE2
Q8NAP3	ZBTB38
Q9NZM5	NOP53
Q9HC62	SENP2
Q9NZM3	ITSN2
P16422	EPCAM
Q9NZM1	MYOF
Q86XT2	VPS37D
P29083	GTF2E1
Q14CS0	UBXN2B
A8MUP2	CSKMT
Q8N5G2	MACO1
Q8N0X4	CLYBL
P15382	KCNE1
A1A5B4	ANO9
O15062	ZBTB5
Q03989	ARID5A
Q96NH3	TBC1D32
Q06609	RAD51
Q9BR01	SULT4A1
P16520	GNB3
Q9Y291	MRPS33
Q9Y296	TRAPPC4
Q9Y297	BTRC
Q9Y294	ASF1A
Q9Y295	DRG1
Q9BR09	NEURL2
Q96S06	LMF1
P29084	GTF2E2
Q9NUQ3	TXLNG
Q6ICB4	PHETA2
Q6ICB0	DESI1
Q6IA17	SIGIRR
Q99952	PTPN18
P30281	CCND3
P49795	RGS19
Q15937	ZNF79
P49796	RGS3
P49790	NUP153
P49792	RANBP2
B0I1T2	MYO1G
P49798	RGS4
P51116	FXR2
P51114	FXR1
Q92913	FGF13
P55286	CDH8
Q9H7L9	SUDS3
P35070	BTC
Q9Y2T5	GPR52
Q9Y2T4	PPP2R2C
O60814	HIST1H2BK
O60547	GMDS
O60812	HNRNPCL1
O43633	CHMP2A
Q9Y2T3	GDA
O60543	CIDEA
Q6ZVK8	NUDT18
Q8IU60	DCP2
Q8N8Y5	ZFP41
Q5T0T0	MARCH8
Q8N8Y2	ATP6V0D2
Q9P2U8	SLC17A6
Q9P0L0	VAPA
Q9P0L1	ZKSCAN7
Q9P0L2	MARK1
Q32MZ4	LRRFIP1
P58401	NRXN2
Q9NYX4	CALY
Q9P0L9	PKD2L1
P58400	NRXN1
Q92738	USP6NL
